C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.23CEST20:53:35,,,,,,,,,,,
,,,,,,,,,,,
PN Cn,,,,,,,,,,,
-----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 8,,,,,,,,,,,
,,,,,,,,,,,
#,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
-,-----------,-----------------------------------,---,---------------------------------------,---------------------------------------,-----------------------------------,----------------,-----------,------------,-----------,----
1,PN Cn      ,HD 330036,PN ,15 51 15.9290064932 -48 44 58.559111355,15 47 38.1639294930 -48 35 57.772328270,330.7786262009003 +04.1534529373272,-1.478 -1.517,-12.00,-0.000040,-12.00,0
2,PN Cn      ,V* KX TrA                          ,Sy*,16 44 35.4680860800 -62 37 14.058789276,16 40 00.2494640855 -62 31 40.213239706,326.4140352779406 -10.9390200756133,-1.847 -7.016,~          ,~           ,~          ,1
3,PN Cn      ,PN Cn 1-3,PN ,17 26 12.3147580152 -44 11 25.512172476,17 22 34.4088056203 -44 08 50.241552141,345.0369698201308 -04.9306223066484,-1.449 -1.697,-80,-0.000267,-79.99,0
4,PN Cn      ,PN Cn 1-4,PN ,17 27 48.785 -46 55 41.30,17 24 04.393 -46 53 12.56,342.896065 -06.673604,-6.6 -5.4,-82,-0.000273,-81.99,0
5,PN Cn      ,PN Cn 1-5,PN ,18 29 11.6500996872 -31 29 59.135208396,18 25 57.1969556794 -31 31 59.193188572,002.2913391797350 -09.4806337418078,-2.102 -4.559,-44,-0.000147,-44.00,0
6,PN Cn      ,PN Hb 7,PN ,18 55 37.8037363176 -32 15 48.553611372,18 52 22.9673664057 -32 19 42.220940015,003.9636279227293 -14.9025310469192,-4.007 -6.904,-62.0,-0.000207,-61.99,0
7,PN Cn      ,PN Cn 2-1,PN ,17 54 33.010 -34 22 21.15,17 51 13.536 -34 21 49.33,356.298307 -04.414102,3.6 -13.6,-167,-0.000557,-166.95,0
8,PN Cn      ,PN Cn 3-1,PN ,18 17 34.1015035728 +10 09 03.304908396,18 15 12.2585909605 +10 07 52.201963502,038.2577200500295 +12.0848257848180,-5.370 -10.285,~          ,~           ,~          ,0
================================================================================,,,,,,,,,,,
