C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.23CEST20:54:33,,,,,,,,,,,
,,,,,,,,,,,
PN H,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
---,-----------,-----------------------------------,---,---------------------------------------,---------------------------------------,-----------------------------------,----------------,-----------,------------,-----------,----
1,PN H       ,PN H 1-1,Em*,16 13 28.1768868744 -34 35 39.387943572,16 10 13.4625927101 -34 28 03.430394190,343.4236667175533 +11.9491225300233,-3.994 -4.691,67,0.000224,67.01,0
2,PN H       ,PN H 1-2,PN ,16 48 54.1065182208 -35 47 08.952429948,16 45 34.6387448755 -35 41 55.984449347,347.4874942171402 +05.8105759914560,            ~ ~ ,-101,-0.000337,-100.98,0
3,PN H       ,PN H 1-3,PN ,16 53 31.33 -42 39 22.8,16 49 58.78 -42 34 28.6,342.74425 +00.75173,            ~ ~ ,~          ,~           ,~          ,0
4,PN H       ,PN H 1-4,PN ,16 53 37.0764407952 -31 40 33.135570228,16 50 23.9413350923 -31 35 39.860738537,351.3210935705524 +07.6432592402052,-2.956 -4.023,8,0.000027,8.00,0
5,PN H       ,PN H 1-5,PN ,16 57 23.7543947808 -41 37 58.216237068,16 53 52.9932135319 -41 33 20.355159660,343.9918219253169 +00.8350947536274,-2.702 0.275,~          ,~           ,~          ,0
6,PN H       ,PN H 1-6,PN ,17 06 59.0827919760 -42 41 08.472952788,17 03 25.4606732924 -42 37 10.985484651,344.2469692990923 -01.2144470134412,6.942 -0.756,~          ,~           ,~          ,0
7,PN H       ,PN H 1-7,PN ,17 10 27.3823210128 -41 52 49.392533604,17 06 55.2455666389 -41 49 06.589332856,345.2765768926903 -01.2488543884171,-0.290 -3.786,~          ,~           ,~          ,0
8,PN H       ,PN H 1-8,PN ,17 14 42.93 -33 24 47.4,17 11 26.03 -33 21 23.6,352.62249 +03.04965,            ~ ~ ,~          ,~           ,~          ,0
9,PN H       ,PN H 1-9,PN ,17 21 31.9113826563 -30 20 48.608058709,17 18 19.6696396976 -30 17 53.895305245,355.9692430064372 +03.6263108452423,-6.690 -6.305,-193,-0.000644,-192.94,0
10,PN H       ,NGC 6337,PN ,17 22 15.6721413768 -38 29 01.735593252,17 18 49.6025271503 -38 26 09.825954844,349.3514466817716 -01.1154002104146,-0.967 -2.801,~          ,~           ,~          ,0
11,PN H       ,PN H 1-11,PN ,17 21 17.7263264688 -22 18 35.517598344,17 18 17.0004635777 -22 15 40.354230213,002.6219118508797 +08.1904176428404,-5.400 -3.567,-20,-0.000067,-20.00,0
12,PN H       ,PN H 1-12,PN ,17 26 24.2983159272 -35 01 41.378383416,17 23 04.2905511753 -34 59 07.514937520,352.6748839417345 +00.1439124981013,-5.378 -4.076,~          ,~           ,~          ,0
13,PN H       ,PN H 1-13,PN ,17 28 27.5798073216 -35 07 31.602231048,17 25 07.3225228006 -35 05 06.589554159,352.8279830258597 -00.2595036971452,-1.107 -4.605,~          ,~           ,~          ,0
14,PN H       ,PN H 1-14,PN ,17 28 01.7515982952 -24 25 23.316231684,17 24 58.0051962411 -24 22 56.882319048,001.7091992870227 +05.7342008507003,-7.140 -8.127,40,0.000133,40.00,0
15,PN H       ,PN H 1-15,PN ,17 28 37.6286372256 -24 51 07.218909000,17 25 33.2673911417 -24 48 43.565577038,001.4238618311784 +05.3852991506420,-6.045 -3.809,42,0.000140,42.00,0
16,PN H       ,PN H 1-16,PN ,17 29 23.4288306495 -26 26 05.773990642,17 26 16.7815743283 -26 23 45.529672871,000.1902923269339 +04.3730626526365,            ~ ~ ,~          ,~           ,~          ,1
17,PN H       ,PN H 1-17,PN ,17 29 40.5936293856 -28 40 22.333706616,17 26 30.6526422698 -28 38 03.205072995,358.3512923971024 +03.0905205526766,            ~ ~ ,~          ,~           ,~          ,0
18,PN H       ,PN H 1-18,PN ,17 29 42.76 -29 32 50.3,17 26 31.50 -29 30 31.3,357.62457 +02.60279,            ~ ~ ,~          ,~           ,~          ,0
19,PN H       ,PN H 1-19,PN ,17 30 02.57 -27 59 17.5,17 26 53.64 -27 57 00.0,358.96864 +03.39936,            ~ ~ ,38,0.000127,38.00,0
20,PN H       ,PN H 1-20,PN ,17 30 43.8092470056 -28 04 06.841201728,17 27 34.7460466921 -28 01 52.310573470,358.9846100675498 +03.2284433735338,            ~ ~ ,~          ,~           ,~          ,0
21,PN H       ,PN H 1-21,PN ,17 32 47.8114390416 -40 58 28.653130920,17 29 16.5000116145 -40 56 21.938238797,348.4020629656698 -04.1823240368893,-1.947 -6.378,-208,-0.000694,-207.93,0
22,PN H       ,PN H 1-22,PN ,17 32 22.1496278448 -37 57 23.714516232,17 28 56.7032759681 -37 55 15.370170224,350.8944408631562 -02.4721164018680,-0.400 -6.200,~          ,~           ,~          ,0
23,PN H       ,PN H 1-23,PN ,17 32 46.92 -30 00 14.9,17 29 34.88 -29 58 09.2,357.60711 +01.79534,            ~ ~ ,~          ,~           ,~          ,0
24,PN H       ,PN H 1-24,PN ,17 33 37.5822007992 -21 46 24.764813832,17 30 37.3462229376 -21 44 22.710159958,004.6487682701853 +06.0909112639602,-4.272 -8.389,151,0.000504,151.04,0
25,PN H       ,PN H 1-25,Sy*,17 35 22.2394032936 -29 45 19.908283968,17 32 10.5553312054 -29 43 25.463357823,358.1205552560974 +01.4587784703853,-6.029 0.871,~          ,~           ,~          ,1
26,PN H       ,PN H 1-26,PN ,17 36 29.8983692976 -39 21 56.702843496,17 33 01.6548298887 -39 20 06.158915952,350.1428057024321 -03.9116322156346,0.286 -6.773,-34,-0.000113,-34.00,0
27,PN H       ,PN H 1-27,PN ,17 40 17.9448389544 -22 19 18.212179332,17 37 16.8639226640 -22 17 45.560920406,005.0078925976746 +04.4898865923507,            ~ ~ ,30,0.000100,30.00,0
28,PN H       ,PN H 1-28,PN ,17 42 54.11 -39 36 24.8,17 39 25.24 -39 35 02.5,350.59151 -05.08829,            ~ ~ ,-35,-0.000117,-35.00,0
29,PN H       ,PN H 1-29,WV*,17 44 13.8729577601 -34 17 32.824856894,17 40 54.7032127708 -34 16 16.191047785,355.2750615152446 -02.5429450633118,-8.018 -8.869,~          ,~           ,~          ,0
30,PN H       ,PN H 1-30,PN ,17 45 06.80 -38 08 49.7,17 41 40.69 -38 07 37.1,352.06808 -04.69881,            ~ ~ ,-33,-0.000110,-33.00,0
31,PN H       ,PN H 1-31,PN ,17 45 31.9673698920 -34 33 54.807699996,17 42 12.2727672789 -34 32 44.283723362,355.1818659241532 -02.9141246865468,1.401 0.190,~          ,~           ,~          ,0
32,PN H       ,PN H 1-32,PN ,17 46 06.32760 -34 03 46.3356,17 42 47.48674 -34 02 38.3330,355.67324660 -02.75450798,            ~ ~ ,~          ,~           ,~          ,0
33,PN H       ,PN H 1-33,PN ,17 47 49.4162559989 -34 08 05.126681277,17 44 30.4298614167 -34 07 04.618362711,355.7956746741827 -03.0961670957679,            ~ ~ ,~          ,~           ,~          ,0
34,PN H       ,PN H 1-34,PN ,17 48 07.572 -22 46 47.33,17 45 05.789 -22 45 48.79,005.559192 +02.708621,            ~ ~ ,~          ,~           ,~          ,0
35,PN H       ,PN H 1-35,PN ,17 49 13.9398459192 -34 22 52.812575256,17 45 54.5622212331 -34 21 58.343485753,355.7334637503126 -03.4725607586640,-11.502 -1.989,128,0.000427,128.03,0
36,PN H       ,Hen 2-289,Sy*,17 49 48.2107694784 -37 01 27.797630520,17 46 24.1104657862 -37 00 35.745231102,353.5134986084814 -04.9208622139173,            ~ ~ ,~          ,~           ,~          ,0
37,PN H       ,PN H 1-37,PN ,17 50 44.56 -39 17 25.8,17 47 16.18 -39 16 37.7,351.64331 -06.22657,            ~ ~ ,-28,-0.000093,-28.00,0
38,PN H       ,PN H 1-38,PN ,17 50 45.24 -37 23 52.1,17 47 20.44 -37 23 04.2,353.28672 -05.27333,            ~ ~ ,-151,-0.000504,-150.96,0
39,PN H       ,PN H 1-39,PN ,17 53 21.0206431968 -33 55 58.445317128,17 50 02.3249748781 -33 55 21.798085360,356.5542570948867 -03.9785110058691,-1.657 -5.901,-117,-0.000390,-116.98,0
40,PN H       ,PN H 1-40,PN ,17 55 36.0545698680 -30 33 32.359297176,17 52 22.8493693559 -30 33 05.658357036,359.7145830400181 -02.6915917501653,-2.844 -7.855,~          ,~           ,~          ,0
