C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:49:39,,,,,,,,,,,
,,,,,,,,,,,
PN K,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,   radvel   ,  redshift  ,     cz     ,#not
---,-----------,-----------------------------------,---,---------------------------------------,---------------------------------------,-----------------------------------,----------------,------------,------------,------------,----
1,PN K       ,PN K 1-1,PN ,08 31 52.633 -32 06 08.69,08 29 51.948 -31 55 55.50,252.635008 +04.450581,            ~ ~ ,~           ,~           ,~           ,0
2,PN K       ,PN K 1-2,PN ,08 57 45.9621412752 -28 57 36.577846476,08 55 38.6461836814 -28 45 58.164646292,253.5771805277412 +10.7796436155729,-1.844 1.506,~           ,~           ,~           ,1
3,PN K       ,PN K 1-3,PN ,16 23 19.0090687824 -31 44 58.628625180,16 20 07.7188110908 -31 38 01.763036309,346.9783187748880 +12.4644800126640,-2.191 -0.734,-14,-0.000047,-14.00,0
4,PN K       ,PN K 1-4,PN ,17 40 27.52 -27 01 02.1,17 37 19.83 -26 59 29.9,001.03402 +01.97783,            ~ ~ ,10887,0.037,11092,0
5,PN K       ,MCG-05-46-002,EmG,19 32 20.1648188496 -29 23 09.345452208,19 29 11.5884082696 -29 29 36.019506924,009.8076954286678 -21.1861186035025,            ~ ~ ,7060,0.023833,7144.95,2
6,PN K       ,PN K 1-6,PN ,20 04 14.2789921536 +74 25 36.381398736,20 05 04.6053931299 +74 16 59.235063234,107.0358018053574 +21.3839538094603,-0.195 -28.186,-47.42,-0.000158,-47.42,0
7,PN K       ,PN K 1-7,PN ,05 31 45.498 +06 56 01.58,05 29 03.724 +06 53 52.50,197.270374 -14.238542,            ~ ~ ,~           ,~           ,~           ,0
8,PN K       ,PN K 1-8,HII,07 03 17.3 -10 35 02,07 00 55.6 -10 30 34,223.6965 -02.2086,            ~ ~ ,~           ,~           ,~           ,2
9,PN K       ,PN K 1-9,PN ,07 07 15.6053949864 -05 10 07.476364344,07 04 47.6224733186 -05 05 22.598539285,219.3353200722639 +01.1496973478964,-0.877 -3.086,60.2,0.000201,60.21,1
10,PN K       ,PN K 1-10,PN ,07 12 35.493 -16 05 59.71,07 10 20.062 -16 00 52.27,229.640942 -02.730499,            ~ ~ ,~           ,~           ,~           ,0
11,PN K       ,PN K 1-11,PN ,07 36 07.9179966384 +02 42 27.543987324,07 33 31.2311157823 +02 49 10.601017829,215.6322838159397 +11.1752572895801,-0.932 -2.970,~           ,~           ,~           ,1
12,PN K       ,PN K 1-12,PN ,07 50 11.602 -19 18 16.47,07 47 58.596 -19 10 37.25,236.768376 +03.568511,            ~ ~ ,~           ,~           ,~           ,0
13,PN K       ,PN K 1-13,PN ,08 06 46.5011104080 -02 52 35.181386400,08 04 15.5622984372 -02 43 53.523148608,224.3950296195951 +15.3118362636264,-1.439 3.532,~           ,~           ,~           ,0
14,PN K       ,PN K 1-14,PN ,17 42 36.7639099896 +21 27 02.439215928,17 40 29.1360976601 +21 28 22.530429322,045.6051521835213 +24.3171655772339,7.963 9.366,-19.06,-0.000064,-19.06,0
15,PN K       ,2MASS J17445657+2720070,*  ,17 44 56.5778797248 +27 20 07.084274064,17 42 57.2659325247 +27 21 17.238901733,051.9140311698903 +25.8214100722048,-0.845 -1.320,~           ,~           ,~           ,1
