C.D.S.  -  SIMBAD4 rel 1.8  -  2024.04.27CEST21:47:20,,,,,,,,,,,
,,,,,,,,,,,
PN M,,,,,,,,,,,
----,,,,,,,,,,,
,,,,,,,,,,,
Number of objects : 1,,,,,,,,,,,
,,,,,,,,,,,
 # ,typed ident,            identifier             ,typ,"coord1 (ICRS,J2000/2000)","coord3 (FK4,B1950/1950)","coord4 (Gal,J2000/2000)",       pm       ,  radvel   ,  redshift  ,    cz     ,#not
---,-----------,-----------------------------------,---,---------------------------------------,---------------------------------------,-----------------------------------,----------------,-----------,------------,-----------,----
1,PN M       ,PN M 1-1,PN ,01 37 19.3623937872 +50 28 11.344069236,01 34 12.9108802377 +50 12 55.573262895,130.3602092172623 -11.7389538644552,-1.618 -0.262,~          ,~           ,~          ,0
2,PN M       ,V* V471 Per,EB*,01 58 49.6646558832 +52 53 48.462798552,01 55 32.8790680463 +52 39 14.748153614,133.1178496677037 -08.6370273730464,0.459 -2.286,-22.91,-0.000076,-22.91,1
3,PN M       ,NGC 1360,PN ,03 33 14.6468527944 -25 52 17.977647900,03 31 06.8885905554 -26 02 22.022105131,220.3634463504068 -53.9335804631115,1.777 26.927,108.00,0.000360,108.02,0
4,PN M       ,PN M 1-4,PN ,03 41 43.4191369752 +52 17 00.267451836,03 37 59.1455641238 +52 07 25.092078957,147.4005039174593 -02.3068675125289,0.318 -1.076,~          ,~           ,~          ,1
5,PN M       ,PN M 1-5,PN ,05 46 50.0119955400 +24 22 02.848049436,05 43 46.0889460610 +24 20 58.675013629,184.0453261901274 -02.1423413677968,-0.231 -1.475,~          ,~           ,~          ,1
6,PN M       ,PN M 1-6,PN ,06 35 45.1241072736 -00 05 37.396958568,06 33 11.4759511859 -00 03 07.198203356,211.2251170864339 -03.5322970482570,-1.233 -1.292,~          ,~           ,~          ,1
7,PN M       ,PN M 1-7,PN ,06 37 20.9195312048 +24 00 35.467965071,06 34 17.7499294569 +24 03 11.642269105,189.8943351788892 +07.7927125370115,1.551 -3.897,~          ,~           ,~          ,0
8,PN M       ,PN M 1-8,PN ,06 53 33.795 +03 08 26.96,06 50 56.451 +03 12 13.44,210.377688 +01.903962,            ~ ~ ,~          ,~           ,~          ,0
9,PN M       ,PN M 1-9,PN ,07 05 19.2001625040 +02 46 59.452173768,07 02 42.3025489935 +02 51 35.696299786,212.0329368176826 +04.3559758990149,-1.243 0.365,~          ,~           ,~          ,0
